-BEGIN HEADER-,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Daily Data ,,,,,,,
Dates (month/day/year): 01/01/2008 through 12/31/2023 ,,,,,,,
Location: Latitude  -38.9499   Longitude 146.2839 ,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 17.82 meters,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,
Parameter(s): ,,,,,,,
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) ,,,,,,,
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) ,,,,,,,
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) ,,,,,,,
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) ,,,,,,,
WS10M_MAX       MERRA-2 Wind Speed at 10 Meters Maximum (m/s) ,,,,,,,
-END HEADER-,,,,,,,
YEAR,MO,DY,T2M_MAX,T2M_MIN,PRECTOTCORR,WS10M,WS10M_MAX
2008,1,1,25.01,16.8,0,4.23,4.89
2008,1,2,19.21,16.3,0,2.8,3.79
2008,1,3,18.56,16.68,0.01,7.52,8.45
2008,1,4,22.38,16.8,0.07,5.61,7.88
2008,1,5,26.06,18.23,0,2.8,4.07
2008,1,6,20.8,15.82,0,5.99,8.23
2008,1,7,18.55,15.58,0,3.75,5.25
2008,1,8,19.05,16.19,0,3.4,4.46
2008,1,9,20.3,15.76,0,3.79,6.39
2008,1,10,27.67,18.45,0,3.1,5.62
2008,1,11,28.3,16.41,0.03,6.18,10.16
2008,1,12,19.25,14.62,0,2.23,4.06
2008,1,13,17.62,14.31,0.36,7.26,9.42
2008,1,14,17.69,14.51,0,3.27,5.12
2008,1,15,20.5,14.31,0,2.37,3.2
2008,1,16,17.76,16,0.01,5.95,7.37
2008,1,17,19.15,16.05,0.02,4.44,6.27
2008,1,18,21.64,18.05,0.2,5.97,6.76
2008,1,19,19.44,17.65,8.56,2.87,4.34
2008,1,20,19.8,16.84,3.23,4.66,6
2008,1,21,16.8,15.07,2.2,6.07,6.75
2008,1,22,19.1,15.22,0.02,3.3,4.98
2008,1,23,20.17,15.82,0,1.98,3.11
2008,1,24,19.88,16.46,0.06,2.31,3.55
2008,1,25,22.78,16.41,0.5,1.78,2.77
2008,1,26,27.49,18.61,1.28,2.64,4.44
2008,1,27,20.29,17.28,0.32,5.29,7.23
2008,1,28,18.83,15.99,1.03,3.27,5.06
2008,1,29,19.76,15.97,0.12,2.83,3.83
2008,1,30,21.46,16.98,0.11,2.81,4.01
2008,1,31,17.33,16.13,0.07,5.03,7.15
2008,2,1,20.59,16.02,3.68,4.9,7.31
2008,2,2,22.98,17.76,0.03,2.81,5.91
2008,2,3,21.99,17.77,0.66,3.5,4.85
2008,2,4,22.8,19.46,2.95,4.03,4.65
2008,2,5,21.45,18.82,0.61,2.32,3.07
2008,2,6,20.4,17.73,5.4,4.18,7.09
2008,2,7,17.28,15.47,0.93,7.92,8.82
2008,2,8,16.18,14.55,1.29,4.13,5.37
2008,2,9,16.68,14.76,6.18,3.86,5.21
2008,2,10,18.53,15.27,0.46,2.6,5.07
2008,2,11,19.55,15.2,0.07,2.62,3.88
2008,2,12,17.64,15.47,0.55,4.69,7.13
2008,2,13,16.65,15.12,0.05,5.84,6.81
2008,2,14,18.37,15.97,0.08,3.24,5.8
2008,2,15,21,15.17,0,2.88,4.28
2008,2,16,21.03,16.72,0,4.84,5.93
2008,2,17,22.01,17.08,0,5.53,6.59
2008,2,18,23.35,18.02,0,4.28,5.56
2008,2,19,26.3,17.91,0,2.88,4.89
2008,2,20,21.62,15.44,10.32,4.73,8.84
2008,2,21,18.9,16.63,1.39,6.07,6.59
2008,2,22,21.24,16.05,1.76,6.84,10.46
2008,2,23,16.56,15.76,2.97,10.05,10.95
2008,2,24,16.43,15.29,0.78,8.84,10.64
2008,2,25,17.1,14.83,0.1,4.29,5.62
2008,2,26,18.06,14.85,0.06,2.48,3.61
2008,2,27,17.3,15.05,0.12,3.83,6.88
2008,2,28,15.26,14.55,1.27,6.05,7.98
2008,2,29,15.17,13.11,0.21,3.79,5.5
2008,3,1,16.55,13.71,0.02,2.38,3.64
2008,3,2,19.9,14.57,0.01,5.15,6.76
2008,3,3,23.9,16.57,0,2.46,5.34
2008,3,4,18.2,15.09,0.04,3.35,4.98
2008,3,5,19.98,15.46,0.01,5.01,5.85
2008,3,6,18.24,15.28,0.01,5.19,7.14
2008,3,7,17.72,14.15,0.1,3.15,4.44
2008,3,8,21.47,13.68,0.04,2.09,3.7
2008,3,9,22.6,15.9,0,3.56,4.59
2008,3,10,26.01,16.88,0.01,4.16,5.03
2008,3,11,17.55,15.1,0.04,2.67,4.31
2008,3,12,20.56,16.36,0.08,2.3,3.26
2008,3,13,26.03,16.76,0.02,3.59,5.56
2008,3,14,29.36,17.75,0,3.93,5.12
2008,3,15,21.58,16.84,0,2.94,4.74
2008,3,16,30.15,19.22,0,2.77,4.3
2008,3,17,31.31,20.4,0,1.89,3.66
2008,3,18,24.31,16.57,0.01,5.42,7.38
2008,3,19,20,15.54,0.04,2.52,3.74
2008,3,20,17.73,14.61,0.71,6.06,9.32
2008,3,21,16.25,14.08,0.07,3.88,5.26
2008,3,22,19.73,14.4,0.03,5.23,6.59
2008,3,23,21.67,17.8,1.88,3.55,5.89
2008,3,24,24.05,18.55,2.51,2.73,3.81
2008,3,25,20.54,17.73,0.92,3.46,4.77
2008,3,26,17.69,12.93,7.88,7.23,8.96
